################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.2969404438790084E-01 a       311     0    16     1    11
 -1.5408483069838436E-02 a       312     0    16     1    12
 -3.6434789747576787E-02 a       313     0    16     1    13
 -2.4104873134611036E-02 a       314     0    16     1    14
  1.5358817977254088E-01 a       315     0    16     1    15
 -2.6687444550400615E-02 a       316     0    16     1    16
  1.6208936408905886E-01 a       317     0    16     1    17
  2.0196216617606363E-01 a       318     0    16     1    18
 -1.3129900139190248E-01 a       319     0    16     1    19
  2.1368907759223579E-01 a       320     0    16     1    20
 -2.7352737317342307E-01 a       321     0    17     1     1
  8.6617351856030186E-02 a       322     0    17     1     2
  2.1754593163779629E-01 a       323     0    17     1     3
  1.8911139857438949E-01 a       324     0    17     1     4
 -5.1502196999415127E-02 a       325     0    17     1     5
 -1.5507896449441005E-01 a       326     0    17     1     6
  4.8267201695936554E-02 a       327     0    17     1     7
  4.7554111808181219E-03 a       328     0    17     1     8
 -2.6300784519851989E-01 a       329     0    17     1     9
 -1.7904814678503167E-01 a       330     0    17     1    10
 -2.6477379062063938E-01 a       331     0    17     1    11
 -2.5041475073552491E-02 a       332     0    17     1    12
  6.3343369239791697E-02 a       333     0    17     1    13
 -2.6650484384378359E-01 a       334     0    17     1    14
 -1.2359300861167090E-01 a       335     0    17     1    15
  4.4953416392279288E-01 a       336     0    17     1    16
  1.5344435796487488E-01 a       337     0    17     1    17
  2.7525913201320661E-02 a       338     0    17     1    18
  5.6078453365735831E-02 a       339     0    17     1    19
 -7.7298146207162660E-02 a       340     0    17     1    20
 -8.0955943707857345E-02 a       341     0    18     1     1
  8.4450415543211380E-02 a       342     0    18     1     2
  2.4987627831460910E-01 a       343     0    18     1     3
  1.5494225653734281E-01 a       344     0    18     1     4
 -1.0901681608021302E-01 a       345     0    18     1     5
  3.0321890375742512E-03 a       346     0    18     1     6
  4.1160018972272745E-03 a       347     0    18     1     7
  1.3692760255477823E-01 a       348     0    18     1     8
 -9.4352327199939662E-02 a       349     0    18     1     9
  1.4648693324223824E-01 a       350     0    18     1    10
 -1.4531907152834344E-02 a       351     0    18     1    11
 -2.4484068736023021E-01 a       352     0    18     1    12
 -7.3158932110222799E-02 a       353     0    18     1    13
  1.2984952717990501E-02 a       354     0    18     1    14
  2.4851024004983205E-01 a       355     0    18     1    15
  3.0775119622601660E-01 a       356     0    18     1    16
  1.1482275664307566E-01 a       357     0    18     1    17
 -1.7634202673492420E-02 a       358     0    18     1    18
  8.6761166168549175E-02 a       359     0    18     1    19
  2.1550472979588026E-02 a       360     0    18     1    20
  1.4212619947084931E-01 a       361     0    19     1     1
 -1.5242724624121629E-02 a       362     0    19     1     2
  2.0391594237163960E-01 a       363     0    19     1     3
  6.8005301742522228E-02 a       364     0    19     1     4
  8.3317162103308973E-02 a       365     0    19     1     5
 -1.4548475736616238E-02 a       366     0    19     1     6
 -1.4309499753295152E-01 a       367     0    19     1     7
 -5.4454922791220224E-02 a       368     0    19     1     8
 -1.4092897795503734E-01 a       369     0    19     1     9
 -5.7197839589660633E-02 a       370     0    19     1    10
  2.8124140455903647E-02 a       371     0    19     1    11
 -3.6766032133725660E-02 a       372     0    19     1    12
  8.3692797896233434E-02 a       373     0    19     1    13
 -9.2611863371255092E-03 a       374     0    19     1    14
  2.4686054514381803E-01 a       375     0    19     1    15
 -4.0600781951500697E-01 a       376     0    19     1    16
 -3.9938037216240424E-02 a       377     0    19     1    17
 -3.3524320624922593E-01 a       378     0    19     1    18
 -1.4159030328088851E-02 a       379     0    19     1    19
 -4.6984786102160676E-02 a       380     0    19     1    20
 -1.5551622551082883E-01 a       381     0    20     1     1
 -2.8454048518741618E-02 a       382     0    20     1     2
 -5.3375282030030780E-02 a       383     0    20     1     3
 -5.4674915401784971E-02 a       384     0    20     1     4
  6.1208145889220140E-02 a       385     0    20     1     5
 -4.1812476603882848E-02 a       386     0    20     1     6
  6.5924206285762565E-02 a       387     0    20     1     7
 -3.1981081608622591E-02 a       388     0    20     1     8
 -8.0429050331045415E-02 a       389     0    20     1     9
 -3.6499976726009842E-01 a       390     0    20     1    10
 -1.2049444137262910E-01 a       391     0    20     1    11
  1.8104938587400063E-01 a       392     0    20     1    12
  1.3905184414204371E-02 a       393     0    20     1    13
  1.1578374646752733E-01 a       394     0    20     1    14
 -2.7470009057374848E-02 a       395     0    20     1    15
  1.3691852412514888E-02 a       396     0    20     1    16
  8.1096726152293241E-02 a       397     0    20     1    17
 -2.6387629210136938E-02 a       398     0    20     1    18
 -3.3890218006870532E-02 a       399     0    20     1    19
  4.3606923216927699E-03 a       400     0    20     1    20
  4.0606272898063581E-02 a       401     0    21     1     1
  1.5346744485252325E-01 a       402     0    21     1     2
 -1.8972621064588319E-01 a       403     0    21     1     3
 -3.9914314096283231E-02 a       404     0    21     1     4
 -6.3895414136408923E-02 a       405     0    21     1     5
 -1.2209319683974566E-01 a       406     0    21     1     6
 -2.5038886723045406E-01 a       407     0    21     1     7
 -1.1846136565414779E-01 a       408     0    21     1     8
 -1.7094884992325761E-02 a       409     0    21     1     9
 -1.4690636856380282E-01 a       410     0    21     1    10
  5.9412396266545958E-02 a       411     0    21     1    11
 -2.8767678018346765E-01 a       412     0    21     1    12
